Time, Air Quality
02-06 16:10,6302
02-06 16:20,6466
02-06 16:30,6569
02-06 16:40,6576
02-06 16:50,6795
02-06 17:00,6816
02-06 17:03,6834
02-06 17:13,6873
02-06 17:23,6821
02-06 17:33,6976
02-06 17:43,6906
02-06 17:53,7006
02-07 12:00,7756
02-07 12:10,7803
02-07 12:20,7679
02-07 12:30,7845
02-07 12:40,7731
02-07 12:50,7805
02-07 13:00,7926
02-07 13:10,7850
02-07 13:20,7838
02-07 13:30,7812
02-07 13:40,8183
02-07 13:50,8138
02-07 14:00,7927
02-07 14:10,7802
02-07 14:20,8076
02-07 14:30,8067
02-07 14:40,7972
02-07 14:50,6598
02-07 15:00,6753
02-07 15:10,6763
02-07 15:20,7052
02-07 15:30,6988
02-07 15:40,7002
02-07 15:50,7118
02-07 16:00,7225
02-07 16:10,7124
02-07 16:20,7137
02-07 16:30,7331
02-07 16:40,7313
02-07 16:50,7257
02-07 17:00,7209
02-07 17:10,7251
02-07 17:20,7277
02-07 17:30,7119
02-07 17:40,7217
02-07 17:50,7141
02-07 18:00,7198
02-07 18:10,7184
02-07 18:20,7167
02-07 18:30,7088
02-07 18:40,7005
02-07 18:50,7027
02-07 19:00,6933
02-07 19:10,6922
02-07 19:20,6888
02-07 19:30,7085
02-07 19:40,7091
02-07 19:50,6998
02-07 20:00,6913
02-07 20:10,6997
02-07 20:20,6850
02-07 20:30,6831
02-07 20:40,6769
02-07 20:50,6713
02-07 21:00,6720
02-07 21:10,6694
02-07 21:20,6623
02-07 21:30,6651
02-07 21:40,6577
02-07 21:50,6625
02-07 22:00,6442
02-07 22:10,6499
02-07 22:20,6457
02-07 22:30,6431
02-07 22:40,6366
02-07 22:50,6432
02-07 23:00,6397
02-07 23:10,6301
02-07 23:20,6344
02-07 23:30,6328
02-07 23:40,6286
02-07 23:50,6195
02-08 00:00,6152
02-08 00:10,6118
02-08 00:20,6189
02-08 00:30,6103
02-08 00:40,6153
02-08 00:50,6070
02-08 01:00,6114
02-08 01:10,6083
02-08 01:20,5994
02-08 01:30,5973
02-08 01:40,6042
02-08 01:50,6029
02-08 02:00,6014
02-08 02:11,5906
02-08 02:21,5961
02-08 02:31,5912
02-08 02:41,5939
02-08 02:51,5867
02-08 03:01,5918
02-08 03:11,5801
02-08 03:21,5802
02-08 03:31,5846
02-08 03:41,5868
02-08 03:51,5868
02-08 04:01,5792
02-08 04:11,5810
02-08 04:21,5791
02-08 04:31,5786
02-08 04:41,5763
02-08 04:51,5731
02-08 05:01,5738
02-08 05:11,5666
02-08 05:21,5659
02-08 05:31,5698
02-08 05:41,5681
02-08 05:51,5595
02-08 06:01,5658
02-08 06:11,5575
02-08 06:21,5603
02-08 06:31,5671
02-08 06:41,5567
02-08 06:51,5571
02-08 07:01,5570
02-08 07:11,5640
02-08 07:21,5570
02-08 07:31,5580
02-08 07:41,5627
02-08 07:51,5626
02-08 08:01,5529
02-08 08:11,5573
02-08 08:21,5576
02-08 08:31,5551
02-08 08:41,5593
02-08 08:51,5692
02-08 09:01,5627
02-08 09:11,5660
02-08 09:21,5736
02-08 09:31,5824
02-08 09:41,5865
02-08 09:51,5942
02-08 10:01,6000
02-08 10:11,6040
02-08 10:21,6137
02-08 10:31,6178
02-08 10:41,6081
02-08 10:51,6208
02-08 11:01,6203
02-08 11:11,6231
02-08 11:21,6396
02-08 11:31,6441
02-08 11:41,6600
02-08 11:51,6724
02-08 12:00,6776
02-08 12:10,6897
02-08 12:20,6940
02-08 12:30,7037
02-08 12:40,6987
02-08 12:50,7057
02-08 13:00,6985
02-08 13:10,6991
02-08 13:20,7168
02-08 13:30,7122
02-08 13:40,7180
02-08 13:50,7308
02-08 14:00,7416
02-08 14:10,7291
02-08 14:20,7207
02-08 14:30,7083
02-08 14:40,7288
02-08 14:50,7231
02-08 15:00,7165
02-08 15:10,6997
02-08 15:20,7223
02-08 15:30,7030
02-08 15:40,6872
02-08 15:50,6917
02-08 16:00,6881
02-08 16:10,6763
02-08 16:20,6811
02-08 16:30,6869
02-08 16:40,6804
02-08 16:50,6690
02-08 17:00,6577
02-08 17:10,6564
02-08 17:20,6470
02-08 17:30,6446
02-08 17:40,6374
02-08 17:50,6342
02-08 18:00,6256
02-08 18:10,6206
02-08 18:20,6164
02-08 18:30,6187
02-08 18:40,6062
02-08 18:50,6216
02-08 19:00,6222
02-08 19:10,6064
02-08 19:20,6122
02-08 19:30,6195
02-08 19:40,6088
02-08 19:50,6185
02-08 20:00,6061
02-08 20:10,6109
02-08 20:20,6175
02-08 20:30,6253
02-08 20:40,6228
02-08 20:50,6267
02-08 21:00,6349
02-08 21:10,6264
02-08 21:20,6406
02-08 21:30,6306
02-08 21:40,6444
02-08 21:50,6394
02-08 22:00,6374
02-08 22:10,6365
02-08 22:20,6485
02-08 22:30,6431
02-08 22:40,6454
02-08 22:50,6513
02-08 23:00,6336
02-08 23:10,6446
02-08 23:20,6292
02-08 23:30,6253
02-08 23:40,6238
02-08 23:50,6358
02-09 00:00,6373
02-09 00:10,6271
02-09 00:20,6339
02-09 00:30,6297
02-09 00:40,6309
02-09 00:50,6262
02-09 01:00,6323
02-09 01:10,6227
02-09 01:20,6247
02-09 01:30,6270
02-09 01:40,6240
02-09 01:50,6152
02-09 02:00,6065
02-09 02:10,6229
02-09 02:21,6070
02-09 02:31,6036
02-09 02:41,6242
02-09 02:51,6174
02-09 03:01,6294
02-09 03:11,6300
02-09 03:21,6279
02-09 03:31,6229
02-09 03:41,6344
02-09 03:51,6279
02-09 04:01,6277
02-09 04:11,6351
02-09 04:21,6411
02-09 04:31,6412
02-09 04:41,6376
02-09 04:51,6448
02-09 05:01,6446
02-09 05:11,6423
02-09 05:21,6357
02-09 05:31,6439
02-09 05:41,6434
02-09 05:51,6425
02-09 06:01,6341
02-09 06:11,6372
02-09 06:21,6265
02-09 06:31,6291
02-09 06:41,6220
02-09 06:51,6421
02-09 07:01,6375
02-09 07:11,6370
02-09 07:21,6393
02-09 07:31,6266
02-09 07:41,6454
02-09 07:51,6336
02-09 08:01,6246
02-09 08:11,6253
02-09 08:21,6290
02-09 08:31,6398
02-09 08:41,6265
02-09 08:51,6258
02-09 09:01,6388
02-09 09:11,6505
02-09 09:21,6458
02-09 09:31,6560
02-09 09:41,6510
02-09 09:51,6597
02-09 10:01,6478
02-09 10:11,6403
02-09 10:21,6466
02-09 10:31,6645
02-09 10:41,6547
02-09 10:51,6442
02-09 11:01,6527
02-09 11:11,6777
02-09 11:21,6740
02-09 11:31,6884
02-09 11:41,6899
02-09 11:51,7018
02-09 12:00,7042
02-09 12:10,6957
02-09 12:20,7255
02-09 12:30,7389
02-09 12:40,7389
02-09 12:50,7420
02-09 13:00,7772
02-09 13:10,7786
02-09 13:20,7696
02-09 13:30,7769
02-09 13:40,7994
02-09 13:50,8325
02-09 14:00,8210
02-09 14:10,8156
02-09 14:20,8352
02-09 14:30,8381
02-09 14:40,8363
02-09 14:50,8351
02-09 15:00,8191
02-09 15:10,8190
02-09 15:20,8172
02-09 15:30,8120
02-09 15:40,8060
02-09 15:50,5041
02-09 16:00,5579
02-09 16:10,5912
02-09 16:20,6314
02-09 16:30,6266
02-09 16:40,6413
02-09 16:50,6658
02-09 17:00,6730
02-09 17:10,6760
02-09 17:20,6896
02-09 17:30,6873
02-09 17:40,6871
02-09 17:50,6954
02-09 18:00,6941
02-09 18:10,6963
02-09 18:20,6896
02-09 18:30,6996
02-09 18:40,7060
02-09 18:50,7063
02-09 19:00,7004
02-09 19:10,7055
02-09 19:20,7032
02-09 19:30,7011
02-09 19:40,7074
02-09 19:50,7006
02-09 20:00,7087
02-09 20:10,7126
02-09 20:20,7164
02-09 20:30,7212
02-09 20:40,7095
02-09 20:50,7082
02-09 21:00,7055
02-09 21:10,7051
02-09 21:20,7110
02-09 21:30,7078
02-09 21:40,6973
02-09 21:50,7062
02-09 22:00,7040
02-09 22:10,7015
02-09 22:20,7004
02-09 22:30,6976
02-09 22:40,6948
02-09 22:50,6810
02-09 23:00,6871
02-09 23:10,6786
02-09 23:20,6764
02-09 23:30,6703
02-09 23:40,6681
02-09 23:50,6760
02-10 00:00,6737
02-10 00:10,6617
02-10 00:20,6667
02-10 00:30,6578
02-10 00:40,6586
02-10 00:50,6597
02-10 01:00,6502
02-10 01:10,6553
02-10 01:20,6529
02-10 01:30,6507
02-10 01:40,6406
02-10 01:50,6401
02-10 02:00,6359
02-10 02:10,6370
02-10 02:20,6398
02-10 02:31,6323
02-10 02:41,6365
02-10 02:51,6362
02-10 03:01,6335
02-10 03:11,6318
02-10 03:21,6265
02-10 03:31,6195
02-10 03:41,6187
02-10 03:51,6152
02-10 04:01,6162
02-10 04:11,6116
02-10 04:21,6103
02-10 04:31,6171
02-10 04:41,6155
02-10 04:51,6144
02-10 05:01,6127
02-10 05:11,6104
02-10 05:21,6035
02-10 05:31,6000
02-10 05:41,5989
02-10 05:51,5978
02-10 06:01,6037
02-10 06:11,5975
02-10 06:21,6016
02-10 06:31,6016
02-10 06:41,5944
02-10 06:51,5971
02-10 07:01,5861
02-10 07:11,5876
02-10 07:21,5856
02-10 07:31,5914
02-10 07:41,5841
02-10 07:51,5929
02-10 08:01,5849
02-10 08:11,5883
02-10 08:21,5903
02-10 08:31,6000
02-10 08:41,5958
02-10 08:51,5962
02-10 09:01,5976
02-10 09:11,6030
02-10 09:21,6019
02-10 09:31,5900
02-10 09:41,5929
02-10 09:51,6011
02-10 10:01,5944
02-10 10:11,6020
02-10 10:21,5981
02-10 10:31,6002
02-10 10:41,6153
02-10 10:51,6198
02-10 11:01,6271
02-10 11:11,6311
02-10 11:21,6439
02-10 11:31,6437
02-10 11:41,6540
02-10 11:51,6724
02-10 12:00,6783
02-10 12:10,6836
02-10 12:20,6894
02-10 12:30,6952
02-11 12:00,6564
02-11 12:10,6841
02-11 12:20,6910
02-11 12:30,7197
02-11 12:40,7244
02-11 12:50,7409
02-11 13:00,7495
02-11 13:10,7611
02-11 13:20,7582
02-11 13:30,7656
02-11 13:40,7711
02-11 13:50,7884
02-11 14:00,7915
02-11 14:10,7925
02-11 14:20,8169
02-11 14:30,8217
02-11 14:40,8379
02-11 14:50,8303
02-11 15:00,8374
02-11 15:10,8497
02-11 15:20,8444
02-11 15:30,8466
02-11 15:40,8180
02-11 15:50,8143
02-11 16:00,8164
02-11 16:10,8174
02-11 16:20,8157
02-11 16:30,8174
02-11 16:40,8361
02-11 16:50,8287
02-11 17:00,8336
02-11 17:10,8394
02-11 17:20,8385
02-11 17:30,8545
02-11 17:40,8569
02-11 17:50,8488
02-11 18:00,8613
02-11 18:10,8676
02-11 18:20,8622
02-11 18:30,8626
02-11 18:40,8645
02-11 18:50,8679
02-11 19:00,8815
02-11 19:10,8748
02-11 19:20,8778
02-11 19:30,8757
02-11 19:40,8781
02-11 19:50,8755
02-11 20:00,8787
02-11 20:10,8762
02-11 20:20,8772
02-11 20:30,8819
02-11 20:40,8785
02-11 20:50,8891
02-11 21:00,8942
02-11 21:10,8863
02-11 21:20,8956
02-11 21:30,8843
02-11 21:40,8847
02-11 21:50,8800
02-11 22:00,8841
02-11 22:10,8951
02-11 22:20,8847
02-11 22:30,8944
02-11 22:40,8831
02-11 22:50,8926
02-11 23:00,8787
02-11 23:10,8798
02-11 23:20,8806
02-11 23:30,8896
02-11 23:40,8753
02-11 23:50,8889
02-12 00:00,8792
02-12 00:10,8872
02-12 00:20,8737
02-12 00:30,8767
02-12 00:40,8760
02-12 00:50,8751
02-12 01:00,8715
02-12 01:10,8716
02-12 01:20,8863
02-12 01:30,8680
02-12 01:40,8819
02-12 01:50,8809
02-12 02:00,8696
02-12 02:10,8772
02-12 02:20,8714
02-12 02:30,8527
02-12 02:40,8612
02-12 02:50,8463
02-12 03:00,8403
02-12 03:10,8441
02-12 03:21,8437
02-12 03:31,8363
02-12 03:41,8378
02-12 03:51,8381
02-12 04:01,8402
02-12 04:11,8476
02-12 04:21,8369
02-12 04:31,8351
02-12 04:41,8308
02-12 04:51,8228
02-12 05:01,8308
02-12 05:11,8342
02-12 05:21,8188
02-12 05:31,8300
02-12 05:41,8161
02-12 05:51,8157
02-12 06:01,8141
02-12 06:11,8131
02-12 06:21,8122
02-12 06:31,8236
02-12 06:41,8223
02-12 06:51,8227
02-12 07:01,8131
02-12 07:11,8167
02-12 07:21,8086
02-12 07:31,8199
02-12 07:41,8095
02-12 07:51,8104
02-12 08:01,8126
02-12 08:11,8155
02-12 08:21,8046
02-12 08:31,8084
02-12 08:41,8031
02-12 08:51,8064
02-12 09:01,7984
02-12 09:11,7935
02-12 09:21,8005
02-12 09:31,8041
02-12 09:41,7913
02-12 09:51,7804
02-12 10:01,7776
02-12 10:11,7712
02-12 10:21,7633
02-12 10:31,7558
02-12 10:41,7597
02-12 10:51,7490
02-12 11:01,7394
02-12 11:11,7260
02-12 11:21,6961
02-12 11:31,6987
02-12 11:41,6750
02-12 11:51,6615
02-12 12:00,6557
02-12 12:10,5960
02-12 12:20,4615
02-12 12:30,4611
02-12 12:40,4779
02-12 12:50,4952
02-12 13:00,5088
02-12 13:10,5273
02-12 13:20,5545
02-12 13:30,5675
02-12 13:40,5962
02-12 13:50,6054
02-12 14:00,6344
02-12 14:10,6561
02-12 14:20,6783
02-12 14:30,6881
02-12 14:40,7130
02-12 14:50,7376
02-12 15:00,7548
02-12 15:10,7637
02-12 15:20,7756
02-12 15:30,7922
02-12 15:40,7870
02-12 15:50,7933
02-12 16:00,8031
02-12 16:10,7925
02-12 16:20,7985
02-12 16:30,7971
02-12 16:40,7894
02-12 16:50,7887
02-12 17:00,7817
02-12 17:10,7804
02-12 17:20,7828
02-12 17:30,7858
02-12 17:40,7839
02-12 17:50,7938
02-12 18:00,7870
02-12 18:10,7915
02-12 18:20,7893
02-12 18:30,8016
02-12 18:40,7874
02-12 18:50,7863
02-12 19:00,7901
02-12 19:10,7891
02-12 19:20,7962
02-12 19:30,7966
02-12 19:40,7969
02-12 19:50,7850
02-12 20:00,7776
02-12 20:10,7761
02-12 20:20,7831
02-12 20:30,7716
02-12 20:40,7808
02-12 20:50,7713
02-12 21:00,7856
02-12 21:10,7724
02-12 21:20,7772
02-12 21:30,7740
02-12 21:40,7723
02-12 21:50,7777
02-12 22:00,7715
02-12 22:10,7688
02-12 22:20,7749
02-12 22:30,7737
02-12 22:40,7598
02-12 22:50,7653
02-12 23:00,7688
02-12 23:10,7544
02-12 23:20,7507
02-12 23:30,7448
02-12 23:40,7353
02-12 23:50,7432
02-13 00:00,7248
02-13 00:10,7303
02-13 00:20,7233
02-13 00:30,7222
02-13 00:40,7211
02-13 00:50,7184
02-13 01:00,7197
02-13 01:10,7102
02-13 01:20,7070
02-13 01:30,7151
02-13 01:40,6999
02-13 01:50,7001
02-13 02:00,6960
02-13 02:10,7041
02-13 02:20,6971
02-13 02:30,6946
02-13 02:40,6861
02-13 02:50,6870
02-13 03:01,6845
02-13 03:11,6752
02-13 03:21,6831
02-13 03:31,6853
02-13 03:41,6766
02-13 03:51,6723
02-13 04:01,6710
02-13 04:11,6798
02-13 04:21,6740
02-13 04:31,6803
02-13 04:41,6785
02-13 04:51,6696
02-13 05:01,6707
02-13 05:11,6759
02-13 05:21,6637
02-13 05:31,6733
02-13 05:41,6723
02-13 05:51,6626
02-13 06:01,6641
02-13 06:11,6557
02-13 06:21,6528
02-13 06:31,6547
02-13 06:41,6604
02-13 06:51,6513
02-13 07:01,6595
02-13 07:11,6579
02-13 07:21,6494
02-13 07:31,6593
02-13 07:41,6424
02-13 07:51,6449
02-13 08:01,6482
02-13 08:11,6478
02-13 08:21,6407
02-13 08:31,6481
02-13 08:41,6444
02-13 08:51,6526
02-13 09:01,6593
02-13 09:11,6672
02-13 09:21,6629
02-13 09:31,6421
02-13 09:41,6361
02-13 09:51,6234
02-13 10:01,6206
02-13 10:11,6215
02-13 10:21,6244
02-13 10:31,6150
02-13 10:41,6186
02-13 10:51,6318
02-13 11:01,6648
02-13 11:11,6843
02-13 11:21,7046
02-13 11:31,7151
02-13 11:41,7415
02-13 11:51,7534
02-13 12:00,7726
02-13 12:10,7839
02-13 12:20,8103
02-13 12:30,8393
02-13 12:40,8572
02-13 12:50,8624
02-13 13:00,8939
02-13 13:10,8884
02-13 13:20,8913
02-13 13:30,8784
02-13 13:40,8919
02-13 13:50,8908
02-13 14:00,8670
02-13 14:10,8557
02-13 14:20,8654
02-13 14:30,8500
02-13 14:40,8524
02-13 14:50,8430
02-13 15:00,8345
02-13 15:10,8269
02-13 15:20,7507
02-13 15:30,7481
02-13 15:40,7588
02-13 15:50,7695
02-13 16:00,7645
02-13 16:10,7671
02-13 16:20,7734
02-13 16:30,7733
02-13 16:40,7824
02-13 16:50,7852
02-13 17:00,7731
02-13 17:10,7781
02-13 17:20,7838
02-13 17:30,7894
02-13 17:40,7975
02-13 17:50,8025
02-13 18:00,7964
02-13 18:10,8034
02-13 18:20,7962
02-13 18:30,7907
02-13 18:40,8021
02-13 18:50,7883
02-13 19:00,7903
02-13 19:10,7974
02-13 19:20,7960
02-13 19:30,7935
02-13 19:40,7821
02-13 19:50,7792
02-13 20:00,7736
02-13 20:10,7787
02-13 20:20,7719
02-13 20:30,7546
02-13 20:40,7619
02-13 20:50,7546
02-13 21:00,7415
02-13 21:10,7319
02-13 21:20,7340
02-13 21:30,7253
02-13 21:40,7068
02-13 21:50,7160
02-13 22:00,6968
02-13 22:10,6900
02-13 22:20,6960
02-13 22:30,6935
02-13 22:40,6901
02-13 22:50,6893
02-13 23:00,6930
02-13 23:10,6943
02-13 23:20,6899
02-13 23:30,7022
02-13 23:40,6948
02-13 23:50,6916
02-14 00:00,6921
02-14 00:10,6929
02-14 00:20,6872
02-14 00:30,6881
02-14 00:40,6865
02-14 00:50,6989
02-14 01:00,6937
02-14 01:10,6995
02-14 01:20,6982
02-14 01:30,6896
02-14 01:40,6938
02-14 01:50,6902
02-14 02:00,6850
02-14 02:10,6904
02-14 02:20,6927
02-14 02:30,6896
02-14 02:40,6845
02-14 02:50,6802
02-14 03:00,6903
02-14 03:10,6846
02-14 03:20,6714
02-14 03:31,6800
02-14 03:41,6666
02-14 03:51,6609
02-14 04:01,6661
02-14 04:11,6516
02-14 04:21,6633
02-14 04:31,6498
02-14 04:41,6469
02-14 04:51,6529
02-14 05:01,6457
02-14 05:11,6560
02-14 05:21,6437
02-14 05:31,6477
02-14 05:41,6500
02-14 05:51,6513
02-14 06:01,6504
02-14 06:11,6481
02-14 06:21,6499
02-14 06:31,6475
02-14 06:41,6326
02-14 06:51,6310
02-14 07:01,6325
02-14 07:11,6427
02-14 07:21,6397
02-14 07:31,6468
02-14 07:41,6433
02-14 07:51,6395
02-14 08:01,6532
02-14 08:11,6557
02-14 08:21,6458
02-14 08:31,6419
02-14 08:41,6446
02-14 08:51,6429
02-14 09:01,6394
02-14 09:11,6329
02-14 09:21,6405
02-14 09:31,6447
02-14 09:41,6346
02-14 09:51,6364
02-14 10:01,6421
02-14 10:11,6543
02-14 10:21,6605
02-14 10:31,6602
02-14 10:41,6730
02-14 10:51,6788
02-14 11:01,6904
02-14 11:11,6931
02-14 11:21,7042
02-14 11:31,7123
02-14 11:41,7282
02-14 11:51,7283
02-14 12:00,7461
02-14 12:10,7686
02-14 12:20,7838
02-14 12:30,8001
02-14 12:40,8214
02-14 12:50,8341
02-14 13:00,8365
02-14 13:10,8456
02-14 13:20,8608
02-14 13:30,8461
02-14 13:40,8381
02-14 13:50,8251
02-14 14:00,8376
02-14 14:10,8231
02-14 14:20,8180
02-14 14:30,8186
02-14 14:40,8219
02-14 14:50,8205
02-14 15:00,5995
02-14 15:10,4860
